nombre_grada,nombre_recinto,num_localidades,precio_grada
Grada Roja Tribuna,Adelaide Oval jbidmcijtc,34,58
Grada Verde Sector,Adelaide Oval nyiogzknwa,21,73
Grada Este Grada,Adelaide Oval nyiogzknwa,45,77
Grada Verde Zona,Adelaide Oval nyiogzknwa,25,44
Grada Roja Sector,Ademar da Costa Carvalho nhanvudnxz,5,25
Grada Verde Sector,Ademar da Costa Carvalho nhanvudnxz,38,26
Grada Sur Sector,Ademar da Costa Carvalho nhanvudnxz,31,69
Grada Verde Sector,Aggie Memorial Stadium fkutnmeufv,13,95
Grada Este Sector,Aggie Memorial Stadium fkutnmeufv,22,51
Grada Norte Zona,Aggie Memorial Stadium fkutnmeufv,11,49
Grada Blanca Sector,Aggie Memorial Stadium gbshrinjos,33,77
Grada Negra Sector,Aggie Memorial Stadium gbshrinjos,24,72
Grada Amarilla Zona,Aggie Memorial Stadium gbshrinjos,44,62
Grada Norte Grada,Aggie Memorial Stadium ktqpkrtver,35,66
Grada Oeste Grada,Aintree Racecourse ggdqyvlcar,47,46
Grada Sur Tribuna,Aintree Racecourse ggdqyvlcar,21,10
Grada Roja Tribuna,Aintree Racecourse lxyfhmwjyd,41,16
Grada Oeste Zona,Aintree Racecourse rlavostyxq,44,85
Grada Blanca Tribuna,Aintree Racecourse rlavostyxq,41,22
Grada Este Zona,Aintree Racecourse vaobixgehy,27,23
Grada Roja Zona,Aintree Racecourse xyoewcqacy,34,26
Grada Oeste Tribuna,Aintree Racecourse xyoewcqacy,33,63
Grada Este Zona,Ajinamoto Stadium dxdbwpctbg,39,89
Grada Blanca Sector,Ajinamoto Stadium unkykxhjkz,27,82
Grada Blanca Tribuna,Al Shaab Stadium adszshbttq,34,33
Grada Oeste Sector,Al Shaab Stadium adszshbttq,5,42
Grada Blanca Sector,Al Shaab Stadium adszshbttq,45,39
Grada Amarilla Sector,Al Shaab Stadium hnkjyrpqls,37,24
Grada Verde Sector,Al Shaab Stadium hwolssqxul,17,99
Grada Sur Sector,Al Shaab Stadium hwolssqxul,1,34
Grada Este Grada,Al Shaab Stadium hwolssqxul,22,14
Grada Este Sector,Al Shaab Stadium lyjsamqcmp,33,36
Grada Oeste Zona,Al Shaab Stadium lyjsamqcmp,35,98
Grada Oeste Tribuna,Alamodome czpvatuyso,8,97
Grada Este Grada,Alamodome czpvatuyso,50,81
Grada Azul Sector,Albert Park F1 Circuit bnyrtclsrf,16,40
Grada Amarilla Grada,Albert Park F1 Circuit bnyrtclsrf,1,81
Grada Azul Zona,Albert Park F1 Circuit bnyrtclsrf,46,42
Grada Blanca Sector,Albert Park F1 Circuit fincrhdpgr,44,44
Grada Azul Zona,Albert Park F1 Circuit iuorkgygto,46,35
Grada Blanca Grada,Albert Park F1 Circuit iuorkgygto,47,90
Grada Norte Tribuna,Albert Park F1 Circuit myrwflycze,12,72
Grada Verde Sector,Albert Park F1 Circuit tmcrsgxahw,18,47
Grada Negra Grada,Albert Park F1 Circuit tmcrsgxahw,28,84
Grada Oeste Sector,Albert Park F1 Circuit tmcrsgxahw,47,42
Grada Norte Grada,Alberto J. Armando jknbapzonn,29,92
Grada Este Sector,Alberto J. Armando jknbapzonn,42,73
Grada Oeste Grada,Alberto J. Armando jknbapzonn,37,49
Grada Este Sector,Alberto Tavares Silva emdtbussoe,13,39
Grada Azul Zona,Alberto Tavares Silva gavwbwfkcc,13,47
Grada Verde Tribuna,Alejandro Villanueva ciftudpuim,6,60
Grada Blanca Sector,Alejandro Villanueva ciftudpuim,12,34
Grada Verde Sector,Alejandro Villanueva ciftudpuim,45,26
Grada Azul Tribuna,Alejandro Villanueva rczdglwoiu,16,24
Grada Este Tribuna,Alejandro Villanueva rczdglwoiu,4,64
Grada Oeste Zona,Alejandro Villanueva rczdglwoiu,1,42
Grada Oeste Grada,Aleppo Int'l Stadium dhwoocawtc,43,48
Grada Verde Zona,Aleppo Int'l Stadium dhwoocawtc,1,24
Grada Azul Sector,Aleppo Int'l Stadium kbmpswzgah,9,85
Grada Norte Sector,Aleppo Int'l Stadium kbmpswzgah,17,27
Grada Verde Tribuna,Aleppo Int'l Stadium oozkrjfcwd,16,79
Grada Negra Tribuna,Aleppo Int'l Stadium oozkrjfcwd,40,51
Grada Este Tribuna,Aloha Stadium cgmslrkuyr,16,37
Grada Norte Grada,Aloha Stadium vmpztblqqe,22,60
Grada Verde Sector,Aloha Stadium vmpztblqqe,34,23
Grada Negra Sector,Alumni Stadium cgcinoxcwx,12,81
Grada Amarilla Tribuna,Alumni Stadium cgcinoxcwx,32,16
Grada Negra Sector,Alumni Stadium izvturvqwb,45,68
Grada Sur Zona,Alumni Stadium izvturvqwb,5,99
Grada Azul Sector,Alumni Stadium izvturvqwb,41,17
Grada Este Sector,AMI Stadium mewkucnhcm,2,20
Grada Verde Sector,AMI Stadium qmifemcdcz,16,47
Grada Amarilla Sector,AMI Stadium qmifemcdcz,18,87
Grada Roja Sector,AMI Stadium wkmxeijkae,20,98
Grada Norte Sector,AMI Stadium wkmxeijkae,45,35
Grada Norte Grada,Amon Carter Stadium qhwcjxjqvp,39,78
Grada Norte Zona,Amon Carter Stadium qhwcjxjqvp,44,57
Grada Sur Sector,Amon Carter Stadium towqhnjaoh,45,26
Grada Azul Zona,Amon Carter Stadium towqhnjaoh,36,75
Grada Roja Grada,Amon Carter Stadium towqhnjaoh,33,20
Grada Oeste Sector,Amon Carter Stadium twxjeobpzb,33,100
Grada Azul Sector,Amon Carter Stadium twxjeobpzb,23,67
Grada Azul Grada,Amon Carter Stadium zjhcdjfchz,17,34
Grada Roja Sector,Amon Carter Stadium zjhcdjfchz,5,68
Grada Negra Sector,Amsterdam ArenA rfpkslfvbl,19,50
Grada Blanca Sector,Amsterdam ArenA rfpkslfvbl,43,14
Grada Blanca Grada,Amsterdam ArenA rfpkslfvbl,46,73
Grada Roja Zona,Anfield nvpygibqzg,26,67
Grada Roja Sector,Anfield vmgsngmpwm,40,48
Grada Norte Sector,Anfield vmgsngmpwm,20,54
Grada Norte Tribuna,Anfield vmgsngmpwm,22,37
Grada Amarilla Sector,Angel Stadium enauizywnp,25,15
Grada Azul Zona,Angel Stadium enauizywnp,1,100
Grada Oeste Tribuna,Angel Stadium enauizywnp,4,11
Grada Azul Sector,Angel Stadium ezckdrvhcx,46,42
Grada Verde Zona,Angel Stadium kxjvutppky,39,64
Grada Este Sector,Angel Stadium kxjvutppky,17,17
Grada Blanca Sector,Ansan Wa~ Stadium owipgjwddj,30,18
Grada Este Sector,Ansan Wa~ Stadium owipgjwddj,35,20
Grada Oeste Grada,Ansan Wa~ Stadium owipgjwddj,5,31
Grada Este Grada,Antonio Vespucio Liberti lbgvegypnf,10,22
Grada Azul Grada,Antonio Vespucio Liberti lsudtcyvpj,4,78
Grada Este Sector,Apogee Stadium kuuvsgwhow,47,65
Grada Amarilla Sector,Apogee Stadium kuuvsgwhow,4,44
Grada Norte Zona,Apogee Stadium kuuvsgwhow,7,37
Grada Amarilla Tribuna,Apogee Stadium vavboltzyb,45,20
Grada Verde Sector,Apogee Stadium vavboltzyb,18,94
Grada Azul Zona,Apogee Stadium vavboltzyb,46,39
Grada Amarilla Grada,Arena Barueri gtjjlcmfhh,17,91
Grada Verde Sector,Arena Barueri gtjjlcmfhh,36,20
Grada Norte Zona,Arena Barueri hntpezcyfa,4,75
Grada Negra Zona,Arena Barueri hntpezcyfa,9,93
Grada Este Zona,Arena Barueri hntpezcyfa,37,21
Grada Blanca Tribuna,Arena Barueri mxurvfvxif,6,94
Grada Oeste Sector,Arena Barueri mxurvfvxif,10,73
Grada Negra Sector,Arena Barueri mxurvfvxif,31,37
Grada Negra Sector,Arena Barueri pphfggzqqa,23,55
Grada Oeste Grada,Arena Barueri pphfggzqqa,32,47
Grada Oeste Zona,Arena do Grêmio kehdyiuwqw,28,46
Grada Sur Zona,Arena do Grêmio vhhpknbiaw,22,24
Grada Amarilla Zona,Arena do Grêmio vhhpknbiaw,46,88
Grada Roja Grada,Arena Fonte Nova dojjzlwmnh,41,32
Grada Blanca Sector,Arena Fonte Nova kucbjyouuf,23,93
Grada Sur Grada,Arena Fonte Nova kucbjyouuf,40,80
Grada Este Sector,Arena Fonte Nova smayhdrpzr,32,86
Grada Amarilla Grada,Arena Fonte Nova smayhdrpzr,27,53
Grada Roja Grada,Arena Lviv aoucvjjgdb,47,55
Grada Sur Grada,Arena Lviv aoucvjjgdb,15,41
Grada Verde Grada,Arena Lviv khpfbuqeep,25,72
Grada Norte Sector,Arena Lviv khpfbuqeep,18,100
Grada Sur Zona,Arena Lviv khpfbuqeep,14,56
Grada Este Sector,Arlington Park qafjlutjvu,4,55
Grada Oeste Grada,Arlington Park qafjlutjvu,18,13
Grada Norte Sector,Arlington Park tgejfpktfu,37,24
Grada Blanca Tribuna,Arlington Park tgejfpktfu,15,99
Grada Amarilla Grada,Arlington Park tgejfpktfu,11,88
Grada Blanca Sector,Arrowhead Stadium bpijehppjl,21,55
Grada Blanca Grada,Arrowhead Stadium bpijehppjl,44,55
Grada Roja Grada,Arrowhead Stadium bpijehppjl,7,50
Grada Este Tribuna,Arrowhead Stadium fiossfirmg,13,37
Grada Oeste Tribuna,Arrowhead Stadium hmvmahecku,11,23
Grada Sur Grada,Arrowhead Stadium iifgqumbfh,44,89
Grada Azul Zona,Arrowhead Stadium iifgqumbfh,19,77
Grada Azul Zona,Arrowhead Stadium jbkjaasoyq,1,72
Grada Azul Sector,Ascot Racecourse kephxwavtz,11,13
Grada Sur Sector,Ascot Racecourse kephxwavtz,23,98
Grada Azul Tribuna,Ascot Racecourse kifnxwfrke,35,16
Grada Este Sector,Ascot Racecourse omoiqrlvtt,42,30
Grada Sur Sector,Asim Ferhatovic Hase dtontzqzyz,16,77
Grada Amarilla Tribuna,Asim Ferhatovic Hase dtontzqzyz,30,10
Grada Oeste Zona,Asim Ferhatovic Hase dtontzqzyz,43,93
Grada Azul Grada,Asim Ferhatovic Hase puyiajeiyj,12,28
Grada Blanca Tribuna,Asim Ferhatovic Hase puyiajeiyj,33,22
Grada Norte Grada,Asim Ferhatovic Hase puyiajeiyj,40,66
Grada Oeste Tribuna,AT&T Park iaqfwpimxi,15,32
Grada Verde Zona,AT&T Park iaqfwpimxi,17,30
Grada Sur Sector,AT&T Park wvftslvbta,46,12
Grada Este Tribuna,Atatürk Olimpiyat Stadi fcuqglvcme,20,74
Grada Este Tribuna,Atatürk Olimpiyat Stadi zmqxjjbvqo,15,14
Grada Norte Sector,Atatürk Olimpiyat Stadi zmqxjjbvqo,41,13
Grada Roja Zona,Atatürk Olimpiyat Stadi zmqxjjbvqo,21,63
Grada Azul Sector,Athens Olympic Stadium fgdpafurbn,49,52
Grada Roja Tribuna,Athens Olympic Stadium fgdpafurbn,44,27
Grada Verde Sector,Athens Olympic Stadium fgdpafurbn,40,54
Grada Negra Grada,Athens Olympic Stadium uhwpizynzd,14,23
Grada Azul Sector,Athens Olympic Stadium uhwpizynzd,26,57
Grada Este Zona,Athens Olympic Stadium uhwpizynzd,8,52
Grada Sur Grada,Auto Club Raceway lrictgaxco,44,14
Grada Roja Sector,Auto Club Raceway lrictgaxco,20,46
Grada Roja Grada,Auto Club Raceway rupujecfjd,4,29
Grada Norte Sector,Auto Club Raceway rupujecfjd,49,79
Grada Azul Sector,Auto Club Raceway rupujecfjd,43,54
Grada Blanca Sector,Auto Club Raceway sxynbcagpq,13,40
Grada Blanca Zona,Auto Club Raceway sxynbcagpq,47,17
Grada Verde Zona,Auto Club Raceway vvrqonlres,49,60
Grada Amarilla Grada,Auto Club Raceway vvrqonlres,12,26
Grada Oeste Sector,Auto Club Speedway lirydnkpjr,48,46
Grada Sur Sector,Auto Club Speedway lirydnkpjr,31,58
Grada Sur Tribuna,Autodromo di Monza gdkelartkz,30,72
Grada Sur Sector,Autodromo di Monza gdkelartkz,5,91
Grada Roja Grada,Autodromo di Monza wdybdpoare,24,49
Grada Verde Zona,Autódromo Nelson Piquet ivntetbtaj,28,80
Grada Blanca Sector,Autódromo Nelson Piquet ivntetbtaj,43,95
Grada Blanca Tribuna,Autódromo Nelson Piquet ivntetbtaj,45,73
Grada Este Sector,Autódromo Nelson Piquet ksloqudcae,14,30
Grada Negra Zona,Autódromo Nelson Piquet rfmhzhafee,50,18
Grada Sur Zona,Autódromo Nelson Piquet rfmhzhafee,29,96
Grada Azul Grada,Autódromo Nelson Piquet rgdtugunos,47,39
Grada Oeste Zona,Autódromo Nelson Piquet uqbhnmzdma,9,95
Grada Amarilla Tribuna,Autódromo Nelson Piquet uqbhnmzdma,44,77
Grada Azul Sector,Autódromo Nelson Piquet uqbhnmzdma,6,25
Grada Verde Grada,Autzen Stadium xroisbzeae,15,20
Grada Azul Zona,Autzen Stadium xroisbzeae,32,61
Grada Roja Sector,Autzen Stadium xroisbzeae,35,16
Grada Roja Grada,Aviva Stadium cpsfmjvgee,50,30
Grada Oeste Sector,Aviva Stadium cpsfmjvgee,15,27
Grada Amarilla Sector,Aviva Stadium hadyqdfbtc,13,92
Grada Este Sector,Aviva Stadium hadyqdfbtc,39,38
Grada Oeste Zona,Aviva Stadium ijbxynibvd,42,83
Grada Verde Sector,Aviva Stadium ijbxynibvd,41,59
Grada Azul Grada,Aviva Stadium qcgjnsyvcq,14,99
Grada Roja Sector,Aviva Stadium qcgjnsyvcq,48,94
Grada Amarilla Grada,Aviva Stadium tdmnichxwi,45,96
Grada Blanca Zona,Azadi Stadium anarmtzzuj,14,71
Grada Negra Sector,Azadi Stadium anarmtzzuj,46,98
Grada Blanca Tribuna,Azadi Stadium anarmtzzuj,2,16
Grada Amarilla Zona,Azadi Stadium puqfocvjiz,11,23
Grada Blanca Sector,Azadi Stadium puqfocvjiz,21,56
Grada Norte Tribuna,Azadi Stadium puqfocvjiz,13,88
Grada Oeste Sector,B. Snyder Family Stadium xpzzxveweo,19,42
Grada Negra Sector,Baba Yara Stadium dlqvrzannu,27,62
Grada Verde Grada,Baba Yara Stadium dlqvrzannu,41,66
Grada Norte Sector,Baba Yara Stadium dlqvrzannu,8,47
Grada Oeste Tribuna,Baba Yara Stadium kiyusunwyl,7,92
Grada Amarilla Sector,Baba Yara Stadium kiyusunwyl,27,46
Grada Amarilla Grada,Baba Yara Stadium tmqbhxhxbq,16,73
Grada Sur Sector,Baba Yara Stadium tmqbhxhxbq,23,88
Grada Amarilla Sector,Baba Yara Stadium zlmekymocg,28,69
Grada Oeste Sector,Baba Yara Stadium zlmekymocg,15,58
Grada Blanca Grada,Baba Yara Stadium zlmekymocg,1,96
Grada Azul Zona,Bangabandhu Stadium fqsfdzazyi,35,90
Grada Blanca Sector,Bangabandhu Stadium fqsfdzazyi,18,90
Grada Este Sector,Bangabandhu Stadium hkhivcbrtx,23,32
Grada Amarilla Grada,Bangabandhu Stadium hkhivcbrtx,2,26
Grada Amarilla Tribuna,Bangabandhu Stadium tmdnfgpvcr,35,54
Grada Azul Zona,Bangabandhu Stadium tmdnfgpvcr,37,35
Grada Oeste Sector,Bangabandhu Stadium udlqtnvdqa,45,39
Grada Oeste Tribuna,Bangabandhu Stadium udlqtnvdqa,49,100
Grada Este Sector,Bank of America Stadium cbgwcbgazq,27,90
Grada Roja Sector,Bank of America Stadium cbgwcbgazq,42,31
Grada Oeste Zona,Bank of America Stadium cbgwcbgazq,13,60
Grada Este Sector,Bank of America Stadium fpzxoezmcw,9,84
Grada Amarilla Grada,Bank of America Stadium fpzxoezmcw,36,46
Grada Sur Sector,Bank of America Stadium fpzxoezmcw,23,51
Grada Norte Tribuna,Bank of America Stadium ubwjbyxbby,14,51
Grada Norte Sector,Bank of America Stadium yiusqpwvru,39,91
Grada Negra Sector,Bao'an Stadium glfpbizbwm,43,68
Grada Este Grada,Bao'an Stadium glfpbizbwm,19,69
Grada Verde Sector,Bao'an Stadium ifhbkvlkdi,38,40
Grada Blanca Sector,Bao'an Stadium xgbyfsctfa,16,97
Grada Blanca Zona,Bao'an Stadium xgbyfsctfa,21,11
Grada Sur Tribuna,BayArena dpnjzvifhf,2,88
Grada Negra Zona,BayArena edlqfolbse,13,81
Grada Oeste Zona,BC Place Stadium orpyoaqvft,22,23
Grada Oeste Sector,BC Place Stadium orpyoaqvft,28,47
Grada Roja Grada,BC Place Stadium yamnrqewsn,18,56
Grada Blanca Sector,BC Place Stadium yamnrqewsn,32,75
Grada Sur Zona,BC Place Stadium yamnrqewsn,31,52
Grada Norte Grada,BC Place Stadium yreyeonmxm,46,92
Grada Verde Grada,BC Place Stadium zqayuejubv,44,45
Grada Verde Tribuna,BC Place Stadium zqayuejubv,12,25
Grada Verde Zona,BC Place Stadium zqayuejubv,7,50
Grada Azul Zona,Belmont Park exyonrfxbz,36,83
Grada Este Sector,Belmont Park pgjqhqiwhb,23,61
Grada Verde Grada,Belmont Park pgjqhqiwhb,17,26
Grada Negra Sector,Belmont Park wucwzgjwqm,47,10
Grada Oeste Sector,Ben Hill Griffin Stadium itypvhgudv,50,87
Grada Verde Sector,Ben Hill Griffin Stadium itypvhgudv,8,72
Grada Norte Sector,Ben Hill Griffin Stadium itypvhgudv,32,28
Grada Azul Zona,Ben Hill Griffin Stadium tzzsianmgb,31,54
Grada Blanca Grada,Ben Hill Griffin Stadium tzzsianmgb,19,43
Grada Este Zona,Ben Hill Griffin Stadium tzzsianmgb,15,85
Grada Norte Zona,Ben Hill Griffin Stadium vczrjifalp,24,26
Grada Norte Tribuna,Ben Hill Griffin Stadium vczrjifalp,28,100
Grada Sur Sector,Besiktas Inönü Stadi fsxqudblvw,37,52
Grada Sur Tribuna,BH Networks Stadium lxhmksociu,46,37
Grada Este Tribuna,BH Networks Stadium lxhmksociu,21,38
Grada Azul Sector,Big Arch Stadium hpgfoskysp,12,97
Grada Sur Tribuna,Big Arch Stadium scfbpvftmk,43,57
Grada Negra Sector,Big Arch Stadium scfbpvftmk,45,68
Grada Verde Zona,Big Arch Stadium scfbpvftmk,27,51
Grada Sur Sector,Big Crown Stadium fgxuattijn,13,56
Grada Amarilla Tribuna,Big Crown Stadium fgxuattijn,6,95
Grada Azul Tribuna,Big Crown Stadium fgxuattijn,4,30
Grada Amarilla Sector,Big Crown Stadium frawzhbxtx,10,52
Grada Azul Sector,Big Crown Stadium frawzhbxtx,46,15
Grada Norte Grada,Big Crown Stadium frawzhbxtx,47,60
Grada Sur Tribuna,Big Crown Stadium gxlgkospeq,8,64
Grada Verde Sector,Big Crown Stadium gxlgkospeq,43,17
Grada Sur Tribuna,Big Crown Stadium ywcnupvocv,34,65
Grada Verde Tribuna,Big Crown Stadium ywcnupvocv,12,80
Grada Verde Sector,Bobby Dodd at Grant Field fgcakvqezm,49,72
Grada Blanca Tribuna,Bobby Dodd at Grant Field fgcakvqezm,4,86
Grada Este Sector,Bobby Dodd at Grant Field fgcakvqezm,18,29
Grada Roja Grada,Boleyn Ground exyrydxwtz,41,37
Grada Azul Sector,Boleyn Ground exyrydxwtz,11,93
Grada Roja Sector,Boleyn Ground haptiaflpc,3,68
Grada Azul Tribuna,Boleyn Ground haptiaflpc,13,96
Grada Verde Grada,Boleyn Ground nzwecfsyvc,27,96
Grada Blanca Zona,Boleyn Ground qejeisanyv,11,76
Grada Amarilla Sector,Boleyn Ground qejeisanyv,43,38
Grada Norte Sector,Boleyn Ground rkhzdlxdha,43,42
Grada Sur Grada,Boleyn Ground ssmtacuyqk,4,48
Grada Azul Sector,Boleyn Ground ssmtacuyqk,39,11
Grada Oeste Grada,Boleyn Ground ssmtacuyqk,16,52
Grada Blanca Tribuna,Boone Pickens Stadium cmkjzoqgjz,29,81
Grada Roja Zona,Boone Pickens Stadium gghjsbotuv,8,28
Grada Norte Sector,Boone Pickens Stadium gghjsbotuv,8,82
Grada Negra Sector,Boone Pickens Stadium zycigkuvlw,34,49
Grada Oeste Zona,Boone Pickens Stadium zycigkuvlw,29,77
Grada Verde Tribuna,Borg el Arab Stadium kfnicionux,22,29
Grada Este Grada,Borg el Arab Stadium muhqtymxno,38,17
Grada Blanca Tribuna,Borg el Arab Stadium muhqtymxno,17,44
Grada Blanca Zona,Botchan Stadium jfptjfzgmj,12,13
Grada Amarilla Grada,Botchan Stadium jfptjfzgmj,40,18
Grada Negra Sector,Botchan Stadium jfptjfzgmj,28,79
Grada Negra Zona,Botchan Stadium lsgdzcmgcs,24,49
Grada Norte Sector,Botchan Stadium wklnsixpym,49,84
Grada Amarilla Zona,Botchan Stadium wklnsixpym,39,47
Grada Negra Tribuna,Botchan Stadium wklnsixpym,3,65
Grada Sur Tribuna,Bramall Lane frxwjotqnn,23,63
Grada Norte Zona,Bramall Lane frxwjotqnn,13,35
Grada Este Tribuna,Bramall Lane frxwjotqnn,6,33
Grada Sur Sector,Bramall Lane pssztkpkpz,19,31
Grada Este Sector,Bramall Lane robdyolmzg,40,25
Grada Verde Grada,Bramall Lane wyjfgtnhzp,37,31
Grada Sur Sector,Bramall Lane wyjfgtnhzp,32,61
Grada Azul Zona,Bramall Lane wyjfgtnhzp,9,49
Grada Amarilla Sector,Breffni Park egwdfiggsf,3,59
Grada Oeste Grada,Breffni Park kyoupdqyqt,32,62
Grada Azul Sector,Breffni Park qgxshqohwm,15,91
Grada Azul Tribuna,Breffni Park qgxshqohwm,17,75
Grada Oeste Sector,Breffni Park qgxshqohwm,10,17
Grada Blanca Zona,Bristol Motor Speedway bndnyfukml,48,65
Grada Sur Zona,Bristol Motor Speedway dkeovgpman,11,74
Grada Este Grada,Bristol Motor Speedway dkeovgpman,12,82
Grada Negra Zona,Bristol Motor Speedway hcjhknlzxw,33,99
Grada Azul Zona,Bristol Motor Speedway pvrgcyneoj,3,12
Grada Azul Grada,Bristol Motor Speedway pvrgcyneoj,26,61
Grada Sur Grada,Bristol Motor Speedway ysvnsfiifo,14,75
Grada Oeste Zona,Bristol Motor Speedway ysvnsfiifo,22,19
Grada Blanca Sector,Bristol Motor Speedway ysvnsfiifo,42,70
Grada Este Sector,Bronco Stadium dtjbgymgve,3,97
Grada Roja Sector,Bronco Stadium dtjbgymgve,9,65
Grada Oeste Zona,Bronco Stadium ogvzawqjzi,5,34
Grada Azul Zona,Bronco Stadium zikxducphv,16,23
Grada Norte Grada,Bronco Stadium zikxducphv,13,12
Grada Roja Sector,Bronco Stadium zikxducphv,24,40
Grada Este Zona,Browns Stadium urtfkszeuy,15,81
Grada Sur Sector,Browns Stadium urtfkszeuy,10,35
Grada Azul Sector,Browns Stadium vhxmmugsqh,42,96
Grada Amarilla Tribuna,Browns Stadium vhxmmugsqh,13,34
Grada Negra Zona,Browns Stadium xbxduhtuuv,26,48
Grada Azul Grada,Browns Stadium xbxduhtuuv,45,11
Grada Verde Grada,Browns Stadium xbxduhtuuv,14,12
Grada Azul Zona,Bryant Denny Stadium flcfqycvzn,24,93
Grada Amarilla Zona,Bukit Jalil Stadium jfprlqwguq,47,83
Grada Este Sector,Bukit Jalil Stadium jfprlqwguq,48,43
Grada Este Tribuna,Bukit Jalil Stadium jfprlqwguq,6,64
Grada Sur Sector,Bukit Jalil Stadium njuwsoqyrj,45,34
Grada Norte Sector,Bukit Jalil Stadium njuwsoqyrj,30,46
Grada Sur Sector,Bukit Jalil Stadium vybybtxbvg,1,99
Grada Azul Sector,Bukit Jalil Stadium vybybtxbvg,50,26
Grada Amarilla Tribuna,Bukit Jalil Stadium vybybtxbvg,29,71
Grada Roja Grada,Bulldog Stadium gsxibmfjrh,17,24
Grada Amarilla Zona,Bulldog Stadium gsxibmfjrh,48,86
Grada Negra Sector,Bulldog Stadium nakkasqssw,23,42
Grada Azul Zona,Bulldog Stadium ujlwaoxtmt,24,46
Grada Roja Grada,Bulldog Stadium ujlwaoxtmt,25,55
Grada Blanca Sector,Bung Karno Stadium hmqaxcimxd,48,84
Grada Negra Sector,Bung Karno Stadium kpxkzdazfv,5,86
Grada Blanca Tribuna,Bung Karno Stadium kpxkzdazfv,9,53
Grada Este Grada,Bung Karno Stadium xjlaavmmkv,25,59
Grada Norte Zona,Bung Karno Stadium xjlaavmmkv,38,74
Grada Negra Grada,Bung Tomo Stadium yiszfqlmjt,37,74
Grada Norte Sector,Bung Tomo Stadium yiszfqlmjt,44,18
Grada Blanca Sector,Bung Tomo Stadium yiszfqlmjt,11,65
Grada Roja Grada,Byrd Stadium ncyhdcmhug,25,44
Grada Roja Tribuna,Byrd Stadium ncyhdcmhug,15,91
Grada Amarilla Grada,Byrd Stadium nluswurxva,16,53
Grada Verde Sector,Byrd Stadium outjzobfcx,36,90
Grada Azul Sector,Byrd Stadium outjzobfcx,26,87
Grada Amarilla Sector,Cairo Int'l Stadium eqhyrwmeyb,30,44
Grada Amarilla Grada,Cajun Field gqckhrmbdj,22,25
Grada Blanca Tribuna,Cajun Field gqckhrmbdj,8,97
Grada Verde Tribuna,Cajun Field gqckhrmbdj,33,63
Grada Azul Grada,Cajun Field qzszzjmocn,38,52
Grada Norte Tribuna,Cajun Field qzszzjmocn,18,64
Grada Norte Tribuna,Cajun Field ruuhufgiwe,41,89
Grada Oeste Sector,Cajun Field ruuhufgiwe,11,96
Grada Sur Grada,Cajun Field skkekkjqkb,42,82
Grada Sur Sector,Cajun Field skkekkjqkb,34,63
