Espectaculo,Recinto,Fecha,Estado
17 Again cblvthu;Thomas Jane,Boleyn Ground haptiaflpc,2024-04-08 00:00:00,abierto
17 Again cblvthu;Thomas Jane,Tomás Adolfo Ducó guoahnxgwc,2024-12-07 00:00:00,abierto
17 Again cblvthu;Thomas Jane,Koshien Stadium hauraimjow,2027-11-26 00:00:00,abierto
17 Again cblvthu;Thomas Jane,Grand Stade de Marrakech iqhxghdwhq,2025-07-20 00:00:00,abierto
17 Again ivisyqc;Thomas Jane,Hipódromo Argentino euywbgjkhf,2027-11-07 00:00:00,abierto
17 Again ivisyqc;Thomas Jane,Emirates Stadium kehrkxmjdt,2026-03-13 00:00:00,abierto
17 Again ivisyqc;Thomas Jane,Nazareth Speedway raypnuwqqh,2025-06-02 00:00:00,abierto
17 Again ivisyqc;Thomas Jane,Miami Speedway wlpfipzveu,2026-07-22 00:00:00,abierto
17 Again ivisyqc;Thomas Jane,Lysgårdsbakkene lbusjwwknn,2025-08-05 00:00:00,abierto
2012 avjsoxf;Thomas Jane,Signal Iduna Park efowxqafmm,2026-03-03 00:00:00,abierto
2012 avjsoxf;Thomas Jane,Sydney Cricket Ground zllepmilcn,2024-07-03 00:00:00,abierto
2012 avjsoxf;Thomas Jane,Stade de Suisse mleuomodyh,2026-05-15 00:00:00,abierto
2012 avjsoxf;Thomas Jane,Hipódromo da Gávea qngvpfggay,2027-08-21 00:00:00,abierto
2012 avjsoxf;Thomas Jane,Dr. Lisandro de la Torre zyofitqyae,2026-02-04 00:00:00,abierto
2012 flsvyqt;John Cusack,Bramall Lane wyjfgtnhzp,2025-06-22 00:00:00,abierto
2012 flsvyqt;John Cusack,Kuban Stadion isgagcpcll,2024-06-13 00:00:00,abierto
2012 flsvyqt;John Cusack,Stade du 4-Août bfzbeiedtg,2025-11-06 00:00:00,abierto
2012 flsvyqt;John Cusack,Stade Mohammed V arukjyclkn,2027-08-10 00:00:00,abierto
2012 flsvyqt;John Cusack,Spruce Meadows eupebvbmmv,2026-04-25 00:00:00,abierto
2012 unxowhm;Thomas Jane,Rice-Eccles Stadium vdohwjtgli,2026-12-28 00:00:00,abierto
2012 unxowhm;Thomas Jane,Apogee Stadium kuuvsgwhow,2027-05-15 00:00:00,abierto
2012 unxowhm;Thomas Jane,Rentschler Field iorvtpzyob,2027-02-06 00:00:00,abierto
2012 unxowhm;Thomas Jane,Don León Kolbovski mgszgewreb,2024-04-28 00:00:00,abierto
2012 unxowhm;Thomas Jane,Estadio Monumental U yxfzdgjrzx,2025-10-16 00:00:00,abierto
20th Century Women bcqzr;Annette Bening,Sam Boyd Stadium hzqvjjieqg,2027-04-14 00:00:00,abierto
20th Century Women bcqzr;Annette Bening,City of M'ster Stadium gvuylshfin,2024-10-19 00:00:00,abierto
20th Century Women bcqzr;Annette Bening,Monumental David Arellano ggknjqdryd,2024-07-15 00:00:00,abierto
20th Century Women bcqzr;Annette Bening,King Abdul Aziz bskhmlapyo,2027-09-28 00:00:00,abierto
20th Century Women bcqzr;Annette Bening,Ciudad de Vicente López xvgfdxsdqf,2027-04-18 00:00:00,abierto
21 kjklxzt;Thomas Jane,University of Phoenix Stadium fhsfqorupo,2027-11-23 00:00:00,abierto
21 kjklxzt;Thomas Jane,Infineon Raceway jthbhcifzk,2027-04-03 00:00:00,abierto
21 kjklxzt;Thomas Jane,Stanford Stadium bmbuitnnsh,2025-03-09 00:00:00,abierto
21 kjklxzt;Thomas Jane,Jawaharlal Nehru Stadium xhvlyorjgh,2026-10-05 00:00:00,abierto
21 kjklxzt;Thomas Jane,Portland Int'l Raceway qqyctypbcg,2026-05-09 00:00:00,abierto
21 lywcdyd;Jim Sturgess,Karachi National Stadium vkpgbzwgtg,2026-01-16 00:00:00,abierto
21 lywcdyd;Jim Sturgess,Notre Dame Stadium mttqmsthpe,2026-10-15 00:00:00,abierto
21 lywcdyd;Jim Sturgess,TEDA Football Stadium hcqhjkmwup,2024-02-15 00:00:00,abierto
21 lywcdyd;Jim Sturgess,Estádio Roberto Santos lsgzapmmuy,2025-02-19 00:00:00,abierto
21 lywcdyd;Jim Sturgess,Estádio da Luz xgmzstgsxy,2024-08-16 00:00:00,abierto
22 Jump Street dgdkqmz,Cairo Int'l Stadium eqhyrwmeyb,2026-09-20 00:00:00,abierto
22 Jump Street dgdkqmz,PGE Arena Gdansk irgejejogz,2025-12-09 00:00:00,abierto
22 Jump Street dgdkqmz,Niigata Stadium atvmghqawn,2025-08-07 00:00:00,abierto
22 Jump Street dgdkqmz,Stadio Luigi Ferraris xrbwrgfgyr,2026-08-25 00:00:00,abierto
22 Jump Street dgdkqmz,Miami Speedway mgjfmjydws,2026-10-17 00:00:00,abierto
22 Jump Street hgzdcqr,Heinz Field zrtduyoioq,2025-12-21 00:00:00,abierto
22 Jump Street hgzdcqr,Sepang F1 Circuit gntqnkuydr,2025-08-14 00:00:00,abierto
22 Jump Street hgzdcqr,Khimik Stadion cmjbuuvsma,2027-01-07 00:00:00,abierto
22 Jump Street hgzdcqr,Belmont Park wucwzgjwqm,2027-06-12 00:00:00,abierto
22 Jump Street hgzdcqr,Big Arch Stadium hpgfoskysp,2026-07-06 00:00:00,abierto
2307: Winter's Dream zhdfhzb;Daniel Brühl,Mercedes-Benz Arena skbnioeewd,2026-12-20 00:00:00,abierto
2307: Winter's Dream zhdfhzb;Daniel Brühl,City of M'ster Stadium zhatvclhuo,2024-01-04 00:00:00,abierto
2307: Winter's Dream zhdfhzb;Daniel Brühl,Casement Park lpewkeogye,2027-03-05 00:00:00,abierto
2307: Winter's Dream zhdfhzb;Daniel Brühl,Estádio do Dragão hwoqwmzjrf,2024-03-03 00:00:00,abierto
2307: Winter's Dream zhdfhzb;Daniel Brühl,Tokyo Dome uovgucfuqk,2026-11-25 00:00:00,abierto
28 Weeks Later bjmrlod,York Racecourse fcwxhtqjco,2025-03-07 00:00:00,abierto
28 Weeks Later bjmrlod,Lysgårdsbakkene bgogsszxrw,2027-06-16 00:00:00,abierto
28 Weeks Later bjmrlod,Auto Club Raceway vvrqonlres,2025-06-14 00:00:00,abierto
28 Weeks Later bjmrlod,Hanshin Racecourse vlcmelqglk,2025-10-10 00:00:00,abierto
28 Weeks Later bjmrlod,Ciudad de Vicente López xvgfdxsdqf,2026-05-13 00:00:00,abierto
28 Weeks Later fsguahe,Minute Maid Park tdfflxwfjc,2025-12-04 00:00:00,abierto
28 Weeks Later fsguahe,Fukuoka Dome slqikeossk,2027-01-18 00:00:00,abierto
28 Weeks Later fsguahe,Rice-Eccles Stadium gcacupfjht,2026-01-16 00:00:00,abierto
28 Weeks Later fsguahe,King Abdul Aziz bhhrlzxuym,2026-05-06 00:00:00,abierto
28 Weeks Later fsguahe,Samen Stadium ljbnavltla,2026-05-18 00:00:00,abierto
28 Weeks Later gbfwbqw;Jeremy Renner,St. Tiernach's Park guzcjtfuxf,2027-07-16 00:00:00,abierto
28 Weeks Later gbfwbqw;Jeremy Renner,York Racecourse fcwxhtqjco,2026-11-15 00:00:00,abierto
28 Weeks Later gbfwbqw;Jeremy Renner,Sepang F1 Circuit svqphigaze,2026-11-17 00:00:00,abierto
28 Weeks Later gbfwbqw;Jeremy Renner,Olympic Stadium gbzlbspcan,2026-09-08 00:00:00,abierto
28 Weeks Later gbfwbqw;Jeremy Renner,Rice-Eccles Stadium yoqnvyggzu,2027-08-14 00:00:00,abierto
28 Weeks Later hyhjysr,Byrd Stadium ncyhdcmhug,2024-09-22 00:00:00,abierto
28 Weeks Later hyhjysr,Albert Park F1 Circuit myrwflycze,2025-05-18 00:00:00,abierto
28 Weeks Later hyhjysr,Estadio Ciudad de La Plata uzfcujgqkg,2027-09-06 00:00:00,abierto
28 Weeks Later hyhjysr,Franklin Field obdthondml,2026-02-21 00:00:00,abierto
28 Weeks Later hyhjysr,Marlins Park ikrbaaugww,2025-12-02 00:00:00,abierto
3 Days to Kill mibrcrk;Thomas Jane,Plovdiv Stadion hfmurfpqmo,2027-11-11 00:00:00,abierto
3 Days to Kill mibrcrk;Thomas Jane,Ford Field uihojaatkv,2027-10-01 00:00:00,abierto
3 Days to Kill mibrcrk;Thomas Jane,Imtech Arena visgpkuoqb,2026-07-06 00:00:00,abierto
3 Days to Kill mibrcrk;Thomas Jane,Estádio Vivaldo Lima kdoaxwqjwl,2027-04-03 00:00:00,abierto
3 Days to Kill mibrcrk;Thomas Jane,Miami Speedway xfxuwpymrg,2024-05-21 00:00:00,abierto
3 Days to Kill zfvsqfs,Plovdiv Stadion cwphozirfu,2024-09-22 00:00:00,abierto
3 Days to Kill zfvsqfs,Tofiq Bakhramov Stadium qinhrepjsb,2024-01-27 00:00:00,abierto
3 Days to Kill zfvsqfs,International Speedway aymuwinjty,2027-10-06 00:00:00,abierto
3 Days to Kill zfvsqfs,Melbourne Cricket Ground kkoactytev,2027-04-13 00:00:00,abierto
3 Days to Kill zfvsqfs,Goodison Park agtpguejoe,2027-06-17 00:00:00,abierto
3 Idiots lltmhkd;Will Ferrell,Stadio San Filippo qhbddazbei,2025-03-08 00:00:00,abierto
3 Idiots lltmhkd;Will Ferrell,Presidente Perón rvkdncyueh,2024-12-21 00:00:00,abierto
3 Idiots lltmhkd;Will Ferrell,Sher-e-Bangla Mirpur xvyhhjdrrg,2024-02-09 00:00:00,abierto
3 Idiots lltmhkd;Will Ferrell,Martinsville Speedway dcqfuakanx,2026-06-17 00:00:00,abierto
3 Idiots lltmhkd;Will Ferrell,Reser Stadium lithrumpbt,2025-09-08 00:00:00,abierto
3 Idiots lximu;Aamir Khan,McMahon Stadium bqqwiyoqph,2024-04-03 00:00:00,abierto
3 Idiots lximu;Aamir Khan,Auto Club Speedway lirydnkpjr,2027-02-24 00:00:00,abierto
3 Idiots lximu;Aamir Khan,Red Bull Arena mxnfapiyec,2024-10-17 00:00:00,abierto
3 Idiots lximu;Aamir Khan,Browns Stadium vhxmmugsqh,2025-09-17 00:00:00,abierto
3 Idiots lximu;Aamir Khan,Nazareth Speedway kvyfxqplhm,2024-04-14 00:00:00,abierto
3 Idiots scttcrt;Aamir Khan,Spruce Meadows ltrvbpfcrb,2026-12-05 00:00:00,abierto
3 Idiots scttcrt;Aamir Khan,Stade du 4-Août hmvxbtjctb,2026-01-18 00:00:00,abierto
3 Idiots scttcrt;Aamir Khan,TCF Bank Stadium eshkagghlq,2024-07-22 00:00:00,abierto
3 Idiots scttcrt;Aamir Khan,Nashville Superspeedway nasudgbnhd,2027-01-07 00:00:00,abierto
3 Idiots scttcrt;Aamir Khan,Las Vegas Motor Speedway bjrvojyagu,2026-07-11 00:00:00,abierto
300 ivfnnrb;Will Ferrell,Ciudad de Vicente López xvgfdxsdqf,2024-09-19 00:00:00,abierto
300 ivfnnrb;Will Ferrell,Vodacom Park lzxnskylyb,2027-11-21 00:00:00,abierto
300 ivfnnrb;Will Ferrell,Autzen Stadium xroisbzeae,2025-01-27 00:00:00,abierto
300 ivfnnrb;Will Ferrell,11 June Stadium qsyrtgefxv,2026-12-09 00:00:00,abierto
300 ivfnnrb;Will Ferrell,Phakisa Freeway pxphmyatpu,2024-12-24 00:00:00,abierto
300 ssxgpbx;Thomas Jane,Scott Stadium tmzmoacbkx,2024-12-10 00:00:00,abierto
300 ssxgpbx;Thomas Jane,Nazareth Speedway cmygblgdxq,2027-06-01 00:00:00,abierto
300 ssxgpbx;Thomas Jane,Aloha Stadium vmpztblqqe,2024-02-25 00:00:00,abierto
300 ssxgpbx;Thomas Jane,Olimpico Metropolitano flpabekcyr,2025-10-12 00:00:00,abierto
300 ssxgpbx;Thomas Jane,Estadio Monumental U yxfzdgjrzx,2025-08-20 00:00:00,abierto
300 xpmwnse;Thomas Jane,PETCO Park rzwpsjxghn,2025-10-04 00:00:00,abierto
300 xpmwnse;Thomas Jane,Ewood Park bmptzatpty,2027-10-16 00:00:00,abierto
300 xpmwnse;Thomas Jane,Floyd Stadium wzmkooymbf,2026-08-02 00:00:00,abierto
300 xpmwnse;Thomas Jane,Red Bull Arena mxnfapiyec,2026-05-09 00:00:00,abierto
300 xpmwnse;Thomas Jane,Shah Alam Stadium eqivozgdqj,2027-02-01 00:00:00,abierto
31 umkrmaa,Cowboys Stadium kbnkvwettx,2025-04-01 00:00:00,abierto
31 umkrmaa,Stade El Menzah mwrbsbjciw,2024-03-05 00:00:00,abierto
31 umkrmaa,Estadio Dennis Martinez fvcbknplmd,2026-02-09 00:00:00,abierto
31 umkrmaa,Estádio Jacy Scaff lvvmjuzwnw,2025-05-18 00:00:00,abierto
31 umkrmaa,Stadion Puskás Ferenc qdeensoqeo,2026-03-09 00:00:00,abierto
31 yawgvtb,Imtech Arena eswemrhcng,2025-11-27 00:00:00,abierto
31 yawgvtb,Pride Park euqdpswxpu,2025-05-12 00:00:00,abierto
31 yawgvtb,Franklin Field obdthondml,2025-11-14 00:00:00,abierto
31 yawgvtb,Estádio do Maracanã jfqmwtzrra,2024-05-28 00:00:00,abierto
31 yawgvtb,Coface Arena utjhcaaskw,2027-05-01 00:00:00,abierto
42 skfzosg;Chadwick Boseman,Heinz Field zrtduyoioq,2026-11-14 00:00:00,abierto
42 skfzosg;Chadwick Boseman,Stadio Arechi uqlpsgadlq,2025-03-22 00:00:00,abierto
42 skfzosg;Chadwick Boseman,Hanshin Racecourse vlcmelqglk,2026-08-04 00:00:00,abierto
42 skfzosg;Chadwick Boseman,Safeco Field afcpulqnyl,2027-06-15 00:00:00,abierto
42 skfzosg;Chadwick Boseman,Target Field zdegdenlhr,2026-05-02 00:00:00,abierto
42 spvsx;Chadwick Boseman,Vaught-Hemingway Stadium ehbfjazrke,2026-01-12 00:00:00,abierto
42 spvsx;Chadwick Boseman,Grand Stade de Marrakech ocupqibbby,2024-08-05 00:00:00,abierto
42 spvsx;Chadwick Boseman,Kensington Oval updwvzjsty,2027-04-09 00:00:00,abierto
42 spvsx;Chadwick Boseman,Coface Arena xgbigpvbtl,2025-05-20 00:00:00,abierto
42 spvsx;Chadwick Boseman,City of M'ster Stadium omxxgrltsl,2027-06-02 00:00:00,abierto
5/25/1977 dcssics;Thomas Jane,Universiade Stadium rblaqamvga,2025-05-26 00:00:00,abierto
5/25/1977 dcssics;Thomas Jane,Estadio M. Alemán Valdés ydjktglzkr,2024-05-08 00:00:00,abierto
5/25/1977 dcssics;Thomas Jane,Stadio Arechi zhstxmyhed,2025-09-17 00:00:00,abierto
5/25/1977 dcssics;Thomas Jane,SGL Arena sakhdpeswq,2024-08-18 00:00:00,abierto
5/25/1977 dcssics;Thomas Jane,Chase Field czzugqeerv,2024-01-26 00:00:00,abierto
5/25/1977 meihont;John Francis Daley,Stade du 4-Août tbfhrikwea,2024-03-06 00:00:00,abierto
5/25/1977 meihont;John Francis Daley,Yadegar e Emam Stadium nvepcdfqcp,2027-11-06 00:00:00,abierto
5/25/1977 meihont;John Francis Daley,Fernanda Pires da Silva uvxgmoheir,2024-01-12 00:00:00,abierto
5/25/1977 meihont;John Francis Daley,Estadio Dennis Martinez fvcbknplmd,2026-04-09 00:00:00,abierto
5/25/1977 meihont;John Francis Daley,Browns Stadium vhxmmugsqh,2027-07-16 00:00:00,abierto
5/25/1977 phmum;John Francis Daley,Miller Park cifqquloxl,2026-09-23 00:00:00,abierto
5/25/1977 phmum;John Francis Daley,Stadion Puskás Ferenc zrxneibboo,2026-06-14 00:00:00,abierto
5/25/1977 phmum;John Francis Daley,Auto Club Raceway vvrqonlres,2027-04-19 00:00:00,abierto
5/25/1977 phmum;John Francis Daley,Ciudad de Vicente López ninorvvpif,2026-06-01 00:00:00,abierto
5/25/1977 phmum;John Francis Daley,Shandong Stadium cnjgfdaklu,2026-09-11 00:00:00,abierto
5/25/1977 syqymvi;Thomas Jane,Glücksgas Stadion hndrpkzrhg,2025-10-10 00:00:00,abierto
5/25/1977 syqymvi;Thomas Jane,Estádio Jacy Scaff ejmmximqzp,2025-03-02 00:00:00,abierto
5/25/1977 syqymvi;Thomas Jane,Dix Stadium vzfwdlprdk,2025-04-04 00:00:00,abierto
5/25/1977 syqymvi;Thomas Jane,Estadio La Cartuja lyttnpxzyq,2024-10-08 00:00:00,abierto
5/25/1977 syqymvi;Thomas Jane,Ghadir Stadium nyysfxqmrh,2027-01-03 00:00:00,abierto
50/50 aeecm;Joseph Gordon-Levitt,Stadio Artemio Franchi olqqoauvud,2027-04-21 00:00:00,abierto
50/50 aeecm;Joseph Gordon-Levitt,Tianhe Stadium okctzvaalq,2025-11-14 00:00:00,abierto
50/50 aeecm;Joseph Gordon-Levitt,Stadio Luigi Ferraris gtjsqapqqg,2027-10-01 00:00:00,abierto
50/50 aeecm;Joseph Gordon-Levitt,SKA SKVO Stadion rmxnicxwya,2026-05-18 00:00:00,abierto
50/50 aeecm;Joseph Gordon-Levitt,Hongkou Stadium bokiqknrep,2027-11-09 00:00:00,abierto
A Bigger Splash ghtlmlr;Tilda Swinton,PETCO Park rzwpsjxghn,2027-02-02 00:00:00,abierto
A Bigger Splash ghtlmlr;Tilda Swinton,Tofiq Bakhramov Stadium onqhfuvuko,2027-03-26 00:00:00,abierto
A Bigger Splash ghtlmlr;Tilda Swinton,Mackay Stadium wajosfkycf,2026-07-20 00:00:00,abierto
A Bigger Splash ghtlmlr;Tilda Swinton,Donbass Arena venplvbqfn,2026-02-18 00:00:00,abierto
A Bigger Splash ghtlmlr;Tilda Swinton,Arlington Park tgejfpktfu,2027-03-02 00:00:00,abierto
A Cure for Wellness kepgmvy,Bank of America Stadium fpzxoezmcw,2024-02-05 00:00:00,abierto
A Cure for Wellness kepgmvy,Friends Arena fxkejutpkn,2024-01-07 00:00:00,abierto
A Cure for Wellness kepgmvy,Monumental UNSA qpzyicwvca,2026-11-05 00:00:00,abierto
A Cure for Wellness kepgmvy,Bobby Dodd at Grant Field fgcakvqezm,2026-12-07 00:00:00,abierto
A Cure for Wellness kepgmvy,Dover Int'l Speedway amnevecimi,2026-03-05 00:00:00,abierto
A Cure for Wellness slrxfwe,Fukuoka Dome htqlwkeppm,2027-06-06 00:00:00,abierto
A Cure for Wellness slrxfwe,Al Shaab Stadium hnkjyrpqls,2027-09-14 00:00:00,abierto
A Cure for Wellness slrxfwe,Mosaic Stadium mppjhwmvaf,2026-01-15 00:00:00,abierto
A Cure for Wellness slrxfwe,Estadio José Amalfitani dcqhxpylwv,2027-02-26 00:00:00,abierto
A Cure for Wellness slrxfwe,Apogee Stadium vavboltzyb,2027-05-09 00:00:00,abierto
A Dark Song edcwq;Mark Huberman,EverBank Field xlhxpmxehr,2024-12-02 00:00:00,abierto
A Dark Song edcwq;Mark Huberman,Universitário P. Pedrossian oxuxlandrx,2026-03-21 00:00:00,abierto
A Dark Song edcwq;Mark Huberman,Estádio Machado awwscychbl,2024-09-16 00:00:00,abierto
A Dark Song edcwq;Mark Huberman,Newlands Stadium rrlhhddlpo,2027-09-15 00:00:00,abierto
A Dark Song edcwq;Mark Huberman,Stade de la Mosson pwfekcsbmk,2026-02-04 00:00:00,abierto
A Dark Song hyshjlj;Thomas Jane,Hillsborough kznhoibsdi,2024-09-13 00:00:00,abierto
A Dark Song hyshjlj;Thomas Jane,Spruce Meadows spujtxdjji,2026-12-13 00:00:00,abierto
